entity_name,variable_name,obs_count,first_date,last_date,min_val,max_val,avg_val
Mr Real,Spotify_monthly_listeners_daily,727,1/1/2024,12/31/2025,17587,51783,36883.81430536451
Mr Real,Wikipedia_views_daily,724,1/1/2024,12/31/2025,1,173,11.410220994475138
Naeto C,Instagram_followers_daily,243,1/1/2024,10/18/2025,188955,212170,203194.79835390946
Naeto C,Soundcloud_followers_daily,444,1/1/2024,12/31/2025,437,453,438.7815315315315
Naeto C,Spotify_followers_daily,727,1/1/2024,12/31/2025,113424,135024,124743.60797799175
Naeto C,Spotify_monthly_listeners_daily,545,1/1/2024,9/30/2025,45050,100661,67190.7376146789
Naeto C,Wikipedia_views_daily,716,1/1/2024,12/31/2025,15,710,46.44553072625698
Nonso Amadi,Bandsintown_followers_daily,534,1/1/2024,11/17/2025,0,6615,4867.453183520599
Nonso Amadi,Instagram_followers_daily,668,1/1/2024,12/31/2025,118571,139506,128641.81437125748
Nonso Amadi,Soundcloud_followers_daily,587,1/1/2024,12/31/2025,13334,13756,13602.654173764906
Nonso Amadi,Spotify_followers_daily,727,1/1/2024,12/31/2025,194475,227793,217617
Nonso Amadi,Spotify_monthly_listeners_daily,636,1/1/2024,12/31/2025,353890,748345,529497.1273584906
Nonso Amadi,TikTok_followers_daily,727,1/1/2024,12/31/2025,23500,51800,28176.935350756532
Nonso Amadi,TikTok_likes_daily,727,1/1/2024,12/31/2025,571000,2535714,869146.1485557084
Nonso Amadi,Twitter_followers_daily,550,3/12/2024,12/31/2025,45075,51850,49751.310909090906
Nonso Amadi,Wikipedia_views_daily,702,1/1/2024,12/31/2025,11,232,33.6965811965812
Nonso Amadi,YouTube_subscribers_daily,727,1/1/2024,12/31/2025,127000,169000,140453.71114167813
ODUMODUBLVCK,Bandsintown_followers_daily,420,4/19/2024,11/17/2025,772,8599,3015.9690476190476
ODUMODUBLVCK,Instagram_followers_daily,668,1/1/2024,12/31/2025,1198614,1934446,1648250.2260479042
ODUMODUBLVCK,Soundcloud_followers_daily,573,1/1/2024,12/31/2025,1367,5723,3920.1396160558465
ODUMODUBLVCK,Spotify_followers_daily,727,1/1/2024,12/31/2025,507141,3244934,1797316.152682256
ODUMODUBLVCK,Spotify_monthly_listeners_daily,727,1/1/2024,12/31/2025,1804335,4436916,2971265.3603851446
ODUMODUBLVCK,TikTok_followers_daily,726,1/1/2024,12/31/2025,51300,193850,69981.1349862259
ODUMODUBLVCK,TikTok_likes_daily,633,1/1/2024,12/31/2025,3840,3616667,486837.5450236967
ODUMODUBLVCK,Twitter_followers_daily,521,3/12/2024,12/31/2025,232450,681170,383972.09788867563
ODUMODUBLVCK,Wikipedia_views_daily,24,1/19/2024,4/8/2025,345,1013,603.2916666666666
ODUMODUBLVCK,YouTube_subscribers_daily,726,1/1/2024,12/31/2025,91500,279286,187162.43663911844
Odunsi (The Engine),Bandsintown_followers_daily,522,1/1/2024,11/17/2025,0,8036,5781.021072796935
Odunsi (The Engine),Instagram_followers_daily,668,1/1/2024,12/31/2025,70892,75185,73021.25748502994
Odunsi (The Engine),Spotify_followers_daily,727,1/1/2024,12/31/2025,124492,138159,132624.4264099037
Odunsi (The Engine),Spotify_monthly_listeners_daily,635,1/1/2024,9/30/2025,280692,354091,312498.0881889764
Odunsi (The Engine),Twitter_followers_daily,559,3/12/2024,12/31/2025,114778,117222,116166.54740608229
Odunsi (The Engine),YouTube_subscribers_daily,727,1/1/2024,12/31/2025,33700,38622,36528.74277854196
Olakira,Instagram_followers_daily,237,1/5/2024,10/31/2025,470275,507709,489368.358649789
Olakira,Spotify_followers_daily,636,1/1/2024,12/31/2025,25933,36269,31322.081761006288
Olakira,Spotify_monthly_listeners_daily,543,1/1/2024,6/30/2025,254795,501395,296902.42909760587
Olakira,TikTok_followers_daily,635,1/1/2024,12/31/2025,78500,91225,86912.27244094489
Olakira,TikTok_likes_daily,727,1/1/2024,12/31/2025,80388,101900,96830.14305364512
Olakira,YouTube_subscribers_daily,727,1/1/2024,12/31/2025,603000,669125,634492.7111416782
Olu Maintain,Instagram_followers_daily,229,1/5/2024,10/29/2025,167001,181340,175054.1615720524
Olu Maintain,Spotify_followers_daily,727,1/1/2024,12/31/2025,64748,94472,79875.02888583219
Olu Maintain,Spotify_monthly_listeners_daily,727,1/1/2024,12/31/2025,66833,103971,85103.3658872077
Olu Maintain,Wikipedia_views_daily,728,1/1/2024,12/31/2025,10,231,30.34478021978022
Oritsefemi,Spotify_followers_daily,55,1/1/2024,7/17/2024,16,16,16
Oritsefemi,Spotify_monthly_listeners_daily,55,1/1/2024,7/17/2024,1,88,61
P-Square,Bandsintown_followers_daily,560,1/1/2024,11/17/2025,0,38676,34189.3625
P-Square,Instagram_followers_daily,505,1/1/2024,12/31/2025,12241648,12551512,12350040.358415842
P-Square,Soundcloud_followers_daily,32,4/22/2024,12/31/2025,8726,10403,10241.03125
P-Square,Spotify_followers_daily,727,1/1/2024,12/31/2025,565560,1025886,784613.5598349381
P-Square,Spotify_monthly_listeners_daily,635,1/1/2024,9/30/2025,1014846,2348340,1374497.188976378
P-Square,Wikipedia_views_daily,730,1/1/2024,12/31/2025,149,3398,302.6890410958904
P-Square,YouTube_subscribers_daily,727,1/1/2024,12/31/2025,2390000,2912667,2633489.2984869326
Pheelz,Bandsintown_followers_daily,534,1/1/2024,11/16/2025,0,5268,2480.816479400749
Pheelz,Instagram_followers_daily,668,1/1/2024,12/31/2025,623044,688519,654673.74251497
Pheelz,Soundcloud_followers_daily,174,1/1/2024,12/31/2025,8242,12434,9527.51724137931
Pheelz,Spotify_followers_daily,727,1/1/2024,12/31/2025,373771,830992,593066.2489683632
