entity_type,entity_name,chartmetric_entity_id,variable_name,platform,geo_scope,geo_label,period_label,aggregation_rule,aggregated_value,unit,qoq_change,yoy_change
artist,Amaarae,834689,Wikipedia_views_daily,Wikipedia,global,,Q4_2025,sum,30891.0,views,-26251.0,-7742.0
artist,Amaarae,834689,YouTube_subscribers_daily,YouTube,global,,Q1_2024,net_change,65000.0,subscribers,,
artist,Amaarae,834689,YouTube_subscribers_daily,YouTube,global,,Q1_2025,net_change,15800.0,subscribers,800.0,-49200.0
artist,Amaarae,834689,YouTube_subscribers_daily,YouTube,global,,Q2_2024,net_change,31000.0,subscribers,-34000.0,
artist,Amaarae,834689,YouTube_subscribers_daily,YouTube,global,,Q2_2025,net_change,16578.0,subscribers,778.0,-14422.0
artist,Amaarae,834689,YouTube_subscribers_daily,YouTube,global,,Q3_2024,net_change,15800.0,subscribers,-15200.0,
artist,Amaarae,834689,YouTube_subscribers_daily,YouTube,global,,Q3_2025,net_change,15222.0,subscribers,-1356.0,-578.0
artist,Amaarae,834689,YouTube_subscribers_daily,YouTube,global,,Q4_2024,net_change,15000.0,subscribers,-800.0,
artist,Amaarae,834689,YouTube_subscribers_daily,YouTube,global,,Q4_2025,net_change,9800.0,subscribers,-5422.0,-5200.0
artist,Bad Boy Timz,1596343,Instagram_followers_daily,Instagram,global,,Q1_2024,net_change,-36671.0,followers,,
artist,Bad Boy Timz,1596343,Instagram_followers_daily,Instagram,global,,Q1_2025,net_change,-19983.0,followers,11632.0,16688.0
artist,Bad Boy Timz,1596343,Instagram_followers_daily,Instagram,global,,Q2_2024,net_change,23471.0,followers,60142.0,
artist,Bad Boy Timz,1596343,Instagram_followers_daily,Instagram,global,,Q2_2025,net_change,-62373.0,followers,-42390.0,-85844.0
artist,Bad Boy Timz,1596343,Instagram_followers_daily,Instagram,global,,Q3_2024,net_change,-36066.0,followers,-59537.0,
artist,Bad Boy Timz,1596343,Instagram_followers_daily,Instagram,global,,Q3_2025,net_change,-114429.0,followers,-52056.0,-78363.0
artist,Bad Boy Timz,1596343,Instagram_followers_daily,Instagram,global,,Q4_2024,net_change,-31615.0,followers,4451.0,
artist,Bad Boy Timz,1596343,Instagram_followers_daily,Instagram,global,,Q4_2025,net_change,-32554.0,followers,81875.0,-939.0
artist,Bad Boy Timz,1596343,Spotify_followers_daily,Spotify,global,,Q1_2024,net_change,27779.0,followers,,
artist,Bad Boy Timz,1596343,Spotify_followers_daily,Spotify,global,,Q1_2025,net_change,20466.0,followers,-10754.0,-7313.0
artist,Bad Boy Timz,1596343,Spotify_followers_daily,Spotify,global,,Q2_2024,net_change,25282.0,followers,-2497.0,
artist,Bad Boy Timz,1596343,Spotify_followers_daily,Spotify,global,,Q2_2025,net_change,18051.0,followers,-2415.0,-7231.0
artist,Bad Boy Timz,1596343,Spotify_followers_daily,Spotify,global,,Q3_2024,net_change,13552.0,followers,-11730.0,
artist,Bad Boy Timz,1596343,Spotify_followers_daily,Spotify,global,,Q3_2025,net_change,26166.0,followers,8115.0,12614.0
artist,Bad Boy Timz,1596343,Spotify_followers_daily,Spotify,global,,Q4_2024,net_change,31220.0,followers,17668.0,
artist,Bad Boy Timz,1596343,Spotify_followers_daily,Spotify,global,,Q4_2025,net_change,23611.0,followers,-2555.0,-7609.0
artist,Bad Boy Timz,1596343,Spotify_monthly_listeners_daily,Spotify,global,,Q1_2024,net_change,-210650.0,listeners,,
artist,Bad Boy Timz,1596343,Spotify_monthly_listeners_daily,Spotify,global,,Q1_2025,net_change,-143587.0,listeners,71379.0,67063.0
artist,Bad Boy Timz,1596343,Spotify_monthly_listeners_daily,Spotify,global,,Q2_2024,net_change,103661.0,listeners,314311.0,
artist,Bad Boy Timz,1596343,Spotify_monthly_listeners_daily,Spotify,global,,Q2_2025,net_change,128760.0,listeners,272347.0,25099.0
artist,Bad Boy Timz,1596343,Spotify_monthly_listeners_daily,Spotify,global,,Q3_2024,net_change,4759.0,listeners,-98902.0,
artist,Bad Boy Timz,1596343,Spotify_monthly_listeners_daily,Spotify,global,,Q3_2025,net_change,-205545.0,listeners,-334305.0,-210304.0
artist,Bad Boy Timz,1596343,Spotify_monthly_listeners_daily,Spotify,global,,Q4_2024,net_change,-214966.0,listeners,-219725.0,
artist,Bad Boy Timz,1596343,Twitter_followers_daily,Twitter,global,,Q1_2024,net_change,-472.0,followers,,
artist,Bad Boy Timz,1596343,Twitter_followers_daily,Twitter,global,,Q1_2025,net_change,-743.0,followers,928.0,-271.0
artist,Bad Boy Timz,1596343,Twitter_followers_daily,Twitter,global,,Q2_2024,net_change,-4360.0,followers,-3888.0,
artist,Bad Boy Timz,1596343,Twitter_followers_daily,Twitter,global,,Q2_2025,net_change,-431.0,followers,312.0,3929.0
artist,Bad Boy Timz,1596343,Twitter_followers_daily,Twitter,global,,Q3_2024,net_change,-1967.0,followers,2393.0,
artist,Bad Boy Timz,1596343,Twitter_followers_daily,Twitter,global,,Q3_2025,net_change,-1517.0,followers,-1086.0,450.0
artist,Bad Boy Timz,1596343,Twitter_followers_daily,Twitter,global,,Q4_2024,net_change,-1671.0,followers,296.0,
artist,Bad Boy Timz,1596343,Twitter_followers_daily,Twitter,global,,Q4_2025,net_change,-1620.0,followers,-103.0,51.0
artist,Bad Boy Timz,1596343,Wikipedia_views_daily,Wikipedia,global,,Q1_2024,sum,1936.0,views,,
artist,Bad Boy Timz,1596343,Wikipedia_views_daily,Wikipedia,global,,Q1_2025,sum,1301.0,views,48.0,-635.0
artist,Bad Boy Timz,1596343,Wikipedia_views_daily,Wikipedia,global,,Q2_2024,sum,1559.0,views,-377.0,
artist,Bad Boy Timz,1596343,Wikipedia_views_daily,Wikipedia,global,,Q2_2025,sum,1521.0,views,220.0,-38.0
artist,Bad Boy Timz,1596343,Wikipedia_views_daily,Wikipedia,global,,Q3_2024,sum,2325.0,views,766.0,
artist,Bad Boy Timz,1596343,Wikipedia_views_daily,Wikipedia,global,,Q3_2025,sum,1054.0,views,-467.0,-1271.0
artist,Bad Boy Timz,1596343,Wikipedia_views_daily,Wikipedia,global,,Q4_2024,sum,1253.0,views,-1072.0,
artist,Bad Boy Timz,1596343,Wikipedia_views_daily,Wikipedia,global,,Q4_2025,sum,1308.0,views,254.0,55.0
artist,Bad Boy Timz,1596343,YouTube_subscribers_daily,YouTube,global,,Q1_2024,net_change,0.0,subscribers,,
artist,Bad Boy Timz,1596343,YouTube_subscribers_daily,YouTube,global,,Q1_2025,net_change,25.0,subscribers,0.0,25.0
artist,Bad Boy Timz,1596343,YouTube_subscribers_daily,YouTube,global,,Q2_2024,net_change,0.0,subscribers,0.0,
artist,Bad Boy Timz,1596343,YouTube_subscribers_daily,YouTube,global,,Q2_2025,net_change,24.0,subscribers,-1.0,24.0
artist,Bad Boy Timz,1596343,YouTube_subscribers_daily,YouTube,global,,Q3_2024,net_change,5.0,subscribers,5.0,
artist,Bad Boy Timz,1596343,YouTube_subscribers_daily,YouTube,global,,Q3_2025,net_change,-80.0,subscribers,-104.0,-85.0
artist,Bad Boy Timz,1596343,YouTube_subscribers_daily,YouTube,global,,Q4_2024,net_change,25.0,subscribers,20.0,
artist,Bad Boy Timz,1596343,YouTube_subscribers_daily,YouTube,global,,Q4_2025,net_change,67.0,subscribers,147.0,42.0
